Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
SMPSO,ZDT2,17,HV,0.3285262278098782
SMPSO,ZDT2,9,GD,0.00040501485620129577
SMPSO,ZDT2,9,EP,0.005573403786697573
SMPSO,ZDT2,9,HV,0.3286475945457448
SMPSO,ZDT2,14,Time,8.850203037261963
SMPSO,ZDT2,14,GD,0.0003749868124275052
SMPSO,ZDT2,14,EP,0.005226586051418014
SMPSO,ZDT2,14,HV,0.32865817242086204
SMPSO,ZDT2,0,Time,7.720030069351196
SMPSO,ZDT2,3,GD,0.0004141718577741705
SMPSO,ZDT2,3,EP,0.005284991999999988
SMPSO,ZDT2,3,HV,0.32860391874804046
SMPSO,ZDT2,8,Time,8.2921781539917
SMPSO,ZDT2,9,Time,8.38059949874878
SMPSO,ZDT2,15,Time,8.336468696594238
SMPSO,ZDT2,23,GD,0.00047066509668905487
SMPSO,ZDT2,23,EP,0.005329524502470262
SMPSO,ZDT2,23,HV,0.32859785380368306
SMPSO,ZDT2,19,Time,7.523767471313477
SMPSO,ZDT2,1,GD,0.0003783796919284762
SMPSO,ZDT2,1,EP,0.005492257748045404
SMPSO,ZDT2,1,HV,0.3286851885740323
SMPSO,ZDT2,20,Time,8.072500228881836
SMPSO,ZDT2,17,Time,8.147428274154663
SMPSO,ZDT2,5,Time,8.077650785446167
SMPSO,ZDT2,15,GD,0.0005025511833055339
SMPSO,ZDT2,15,EP,0.005279470602971736
SMPSO,ZDT2,15,HV,0.3284925646568605
SMPSO,ZDT2,22,GD,0.0004402947184462961
SMPSO,ZDT2,22,EP,0.00518062158083743
SMPSO,ZDT2,22,HV,0.32856203231992437
SMPSO,ZDT2,1,Time,7.308512449264526
SMPSO,ZDT2,3,Time,6.821364879608154
SMPSO,ZDT2,19,GD,0.00045177715280726575
SMPSO,ZDT2,19,EP,0.005574169039328891
SMPSO,ZDT2,19,HV,0.32855350070095496
SMPSO,ZDT2,2,Time,7.793606281280518
SMPSO,ZDT2,11,GD,0.0004416915830241997
SMPSO,ZDT2,11,EP,0.005659168481032165
SMPSO,ZDT2,11,HV,0.32857754325109645
SMPSO,ZDT2,12,Time,8.417359113693237
SMPSO,ZDT2,24,GD,0.00043275223122936157
SMPSO,ZDT2,24,EP,0.0055734042073249945
SMPSO,ZDT2,24,HV,0.3286537737468422
SMPSO,ZDT2,13,Time,8.687975883483887
SMPSO,ZDT2,6,GD,0.00043130512156682566
SMPSO,ZDT2,6,EP,0.005242237488349788
SMPSO,ZDT2,6,HV,0.3286744272354188
SMPSO,ZDT2,22,Time,7.745382070541382
SMPSO,ZDT2,16,Time,7.591284275054932
SMPSO,ZDT2,4,GD,0.00043856619669614303
SMPSO,ZDT2,4,EP,0.005135527217923597
SMPSO,ZDT2,4,HV,0.3286341243143828
SMPSO,ZDT2,16,GD,0.00048677804521410426
SMPSO,ZDT2,16,EP,0.005684750981824999
SMPSO,ZDT2,16,HV,0.32846203415238295
SMPSO,ZDT2,18,Time,8.20513653755188
SMPSO,ZDT2,13,GD,0.00042232709874418515
SMPSO,ZDT2,13,EP,0.005189537670417299
SMPSO,ZDT2,13,HV,0.32865202746241484
SMPSO,ZDT2,0,GD,0.0003791665038124128
SMPSO,ZDT2,0,EP,0.005404819596545707
