0110101100010000100110110 * 73110.0, 48150.0, 3845.0, 4130.0 * 2845.0
0010100110010110010110110 * 62265.0, 65090.0, 3820.0, 4225.0 * 135.0
0010100101011010001111010 * 60120.0, 61750.0, 3670.0, 4455.0 * 175.0
0010100110010010010111110 * 63830.0, 69610.0, 3460.0, 4270.0 * 2825.0
0010100110011010100110110 * 68705.0, 59655.0, 3475.0, 4490.0 * 1125.0
0100101101010000100110110 * 74565.0, 48060.0, 4105.0, 4035.0 * 285.0
1010100110011010000011101 * 71605.0, 61330.0, 2645.0, 4440.0 * 15.0
0100100110010010010111110 * 68700.0, 67135.0, 3765.0, 4185.0 * 330.0
0010100111010010010111010 * 61355.0, 67930.0, 3510.0, 4325.0 * 100.0
0010100000011010011101111 * 64275.0, 70155.0, 3300.0, 4360.0 * 705.0
0100000100010001011110111 * 75975.0, 54480.0, 3875.0, 3635.0 * 365.0
0110100110010000100010111 * 78270.0, 55440.0, 3250.0, 4025.0 * 1105.0
0110100110010010100000111 * 77440.0, 58960.0, 3030.0, 4105.0 * 650.0
0100100110010010001110110 * 67380.0, 58745.0, 3830.0, 3990.0 * 4035.0
0110100100111010000101110 * 61110.0, 59375.0, 3540.0, 4530.0 * 1840.0
0110100100011010000110111 * 71080.0, 60430.0, 3500.0, 4355.0 * 3540.0
0010100110011010010100111 * 70240.0, 68830.0, 3185.0, 4370.0 * 1775.0
0111100100010000001110110 * 65395.0, 54320.0, 4115.0, 3980.0 * 2730.0
0100100001010001011110110 * 68170.0, 51850.0, 4260.0, 3885.0 * 25.0
0100100101010000011110110 * 68615.0, 55240.0, 4270.0, 3855.0 * 2820.0
0110100100011010001111010 * 63535.0, 59365.0, 3715.0, 4465.0 * 240.0
0010100110010100011100110 * 61710.0, 61415.0, 3860.0, 4020.0 * 810.0
0110100100011010010110110 * 67195.0, 58465.0, 3745.0, 4300.0 * 4350.0
0100001100010001010110111 * 78085.0, 51495.0, 3690.0, 3655.0 * 975.0
0100001100010001010110111 * 78085.0, 51495.0, 3690.0, 3655.0 * 975.0
0110110100010010010110110 * 68205.0, 57640.0, 4035.0, 4150.0 * 1200.0
0010101100010010010111011 * 68515.0, 65160.0, 3375.0, 4235.0 * 565.0
0110100010011010000101111 * 66525.0, 69520.0, 3050.0, 4535.0 * 105.0
0010100010111010001110110 * 58110.0, 60785.0, 3600.0, 4540.0 * 670.0
1110100100010000100100111 * 77030.0, 51810.0, 3510.0, 4180.0 * 15.0
0110101100010010010110101 * 76285.0, 58900.0, 3570.0, 4310.0 * 790.0
0010100110111010000101110 * 58780.0, 64760.0, 3250.0, 4560.0 * 1760.0
0110101100011000000111110 * 70050.0, 56680.0, 3740.0, 4470.0 * 425.0
